rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,impact_parameter,transit_duration,transit_depth,radius,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_surf_grav,stellar_metal,stellar_radius,stellar_mass,ra,dec,disposition_num
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803557,0.146,2.9575,616.0,2.26,0.0853,89.66,793.0,5.135849,28.47082,35.8,142.0,0.6864,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,1
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.4183827,0.586,4.507,875.0,2.83,0.2734,89.57,443.0,7.027669,20.109507,25.8,25.0,0.0023,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,1
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,19.89913995,0.969,1.7822,10800.0,14.6,0.1419,88.96,638.0,37.159767,187.4491,76.3,56.0,0.6624,5853.0,4.544,-0.18,0.868,0.961,297.00482,48.134129,1
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,1.736952453,1.276,2.40641,8080.0,33.46,0.0267,67.09,1395.0,39.06655,541.8951,505.6,621.0,0.0,5805.0,4.564,-0.52,0.791,0.836,285.53461,48.28521,0
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525591777,0.701,1.6545,603.0,2.75,0.0374,85.41,1406.0,4.749945,33.1919,40.9,515.0,0.309,6031.0,4.438,0.07,1.046,1.095,288.75488,48.2262,1
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09432054,0.538,4.5945,1520.0,3.9,0.0992,88.11,835.0,9.046456,55.204865,66.5,95.0,0.0975,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,1
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443512,0.762,3.1402,686.0,2.77,0.0514,83.72,1160.0,5.500643,33.546658,40.2,240.0,0.546,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,1
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56658897,0.755,2.429,227.0,1.59,0.0374,82.17,1360.0,4.3886313,12.325094,15.0,355.0,0.4352,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,1
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,7.36178958,1.169,5.022,234.0,39.21,0.082,60.92,1342.0,10.964684,46.15308,47.7,185.0,0.7213,6227.0,3.986,0.0,1.958,1.358,298.86435,42.151569,0
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06864674,0.052,3.5347,4910.0,5.76,0.1158,89.92,600.0,20.457163,137.44981,161.9,69.0,0.1819,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,1
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613377,0.818,1.74319,14200.0,13.04,0.0354,84.41,1339.0,544.1701,6468.04,4304.3,432.0,0.1522,5820.0,4.457,-0.06,0.964,0.971,286.80847,49.316399,1
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735417,0.224,3.88864,6670.0,16.1,0.0376,87.21,2048.0,232.27,3862.1846,5945.9,611.0,0.0,6440.0,4.019,0.14,1.952,1.449,292.24728,47.969521,1
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498429,0.631,3.19843,9150.0,14.59,0.0473,85.2,1521.0,130.83832,1725.5824,1741.5,384.0,0.6662,6225.0,4.169,-0.04,1.451,1.132,281.28812,42.45108,1
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709214104,0.051,2.6302,131.0,1.16,0.0465,89.73,1206.0,4.8657312,41.28873,50.6,352.0,0.605,5833.0,4.407,-0.04,1.022,0.974,295.64871,48.49556,1
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,11.52144606,2.483,3.6399,18000.0,150.51,0.0978,83.13,753.0,92.901566,628.3708,622.1,96.0,0.154,5795.0,4.554,-0.2,0.848,0.938,297.07993,47.597401,0
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,19.40393776,0.804,12.2155,8920.0,7.18,0.123,84.93,523.0,49.468765,320.90817,214.7,71.0,0.806,5043.0,4.591,-0.54,0.68,0.657,289.25821,47.635319,0
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,19.22138894,1.065,4.79843,74300.0,49.29,0.1417,88.05,698.0,387.658,2174.4263,2317.0,55.0,0.0003,6117.0,4.496,-0.22,0.947,1.025,295.81454,47.69035,0
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,16.46983774,0.292,9.4378,10500.0,7.94,0.1147,88.81,595.0,43.1625,258.8247,303.4,66.0,0.0112,5152.0,4.517,-0.2,0.786,0.741,297.15442,47.668701,0
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,9.27358173,0.387,3.2875,1290.0,2.47,0.0759,88.93,649.0,9.616924,71.48005,87.2,144.0,0.0504,4856.0,4.583,-0.3,0.696,0.676,288.13824,47.724449,1
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,6.02930329,0.258,1.5821,1910.0,2.85,0.0585,89.5,678.0,6.876831,52.36939,65.4,215.0,1.0,4537.0,4.648,0.21,0.672,0.761,283.71088,47.86327,1
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,2.696370652,0.044,3.6129,398.0,1.58,0.0349,89.56,1066.0,5.508401,34.570904,48.2,501.0,0.0505,4989.0,4.504,0.1,0.819,0.781,283.76547,47.804298,0
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.349553819,0.092,3.0278,831.0,2.55,0.0563,89.62,919.0,6.0370364,48.504196,60.6,247.0,0.7722,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,1
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.94105221,0.226,2.5984,363.0,1.7,0.046,88.88,1018.0,4.5118856,22.749151,28.9,322.0,0.923,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,1
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.10904807,0.025,3.596,217.0,1.3,0.0743,89.92,800.0,4.434382,9.776852,14.1,141.0,0.7742,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,1
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.67699193,0.896,3.4555,857.0,2.95,0.1408,87.91,530.0,5.911944,24.54073,34.3,62.0,0.6183,4954.0,4.5,0.18,0.828,0.791,290.46512,47.92918,1
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.99677968,0.71,2.1717,935.0,2.78,0.0559,86.9,917.0,4.132564,24.283327,28.2,208.0,0.036,5339.0,4.552,0.18,0.847,0.931,297.80826,47.946671,1
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280963604,0.424,2.875,751.0,2.3,0.0503,87.72,1012.0,6.7006826,52.913242,61.8,311.0,0.4302,5644.0,4.564,-0.14,0.831,0.928,294.26581,49.314091,1
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,1.50635409,0.86,1.5155,2210.0,4.53,0.025,79.38,1452.0,9.787732,130.6654,181.1,882.0,1.0,5714.0,4.563,-0.2,0.831,0.926,295.66522,49.351009,0
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,670.645531,0.701,53.412,18100.0,14.14,1.5155,89.53,196.0,70.64302,96.96236,642.7,3.0,0.0001,5520.0,4.466,0.48,0.983,1.03,296.69861,49.316479,0
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,61.2563628,1.248,7.633,5120.0,39.87,0.3137,87.54,505.0,31.079844,73.10389,85.3,13.0,0.8513,6144.0,4.402,0.0,1.091,1.093,283.72592,49.479519,0
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.3775486,0.468,5.588,724.0,2.82,0.2163,89.44,529.0,10.352898,31.946487,34.7,37.0,0.3889,5481.0,4.369,0.16,1.036,0.915,291.72202,49.480869,1
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.19725502,0.045,4.6297,2210.0,3.86,0.217,89.96,439.0,11.918161,37.877567,51.2,26.0,0.1551,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,1
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252962249,0.105,2.5819,1040.0,2.65,0.0617,89.68,823.0,5.834264,35.96252,47.1,167.0,0.7587,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,1
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,16.01308419,0.799,3.2554,1120.0,3.1,0.1148,88.14,593.0,8.468995,31.066507,33.2,65.0,0.8555,5015.0,4.499,0.1,0.826,0.785,297.02563,48.478588,1
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.62876672,0.021,4.7971,1800.0,3.36,0.1889,89.98,506.0,14.0889,61.372303,80.0,34.0,0.6386,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,1
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.7732862,0.606,6.473,652.0,2.12,0.3764,89.61,359.0,6.9461374,14.678595,19.1,11.0,0.7668,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,1
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,4.959319244,0.831,2.22739,9800.0,12.21,0.0565,86.15,1103.0,58.764744,670.4895,696.5,269.0,0.0517,5712.0,4.359,0.1,1.082,0.976,292.16705,48.727589,1
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,2.701287801,1.016,3.3827,860.0,6.54,0.0365,62.69,1222.0,5.044661,39.745068,48.3,387.0,0.3375,5550.0,4.468,-0.04,0.91,0.889,297.92365,48.777321,0
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.49876511,0.312,3.7362,460.0,2.1,0.0542,88.0,1133.0,4.435833,26.501581,29.5,238.0,0.1694,6075.0,4.486,-0.12,0.969,1.048,298.45685,48.791592,1
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,19.65120951,0.723,5.2514,11800.0,12.42,0.1433,88.27,730.0,85.46643,509.4985,513.4,59.0,0.5224,6074.0,4.391,-0.12,1.063,1.014,291.0939,48.933842,0
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412203927,0.787,2.9472,602.0,2.94,0.0591,85.12,1093.0,46.475086,163.47614,166.7,244.0,0.2265,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,1
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,41.43958662,0.355,10.5989,2790.0,5.5,0.2288,89.31,516.0,27.788597,124.52492,141.1,33.0,0.4776,5468.0,4.367,0.22,1.046,0.93,295.55505,49.017342,1
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,8.35389523,0.023,2.2514,1040.0,2.52,0.0768,89.95,790.0,5.6967807,36.34974,43.4,127.0,0.5047,5592.0,4.582,-0.28,0.787,0.862,285.49924,49.277351,1
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,4.125543472,0.597,3.1744,1490.0,4.43,0.0529,85.95,1243.0,9.387555,94.70979,128.6,323.0,0.6043,6174.0,4.417,0.1,1.103,1.162,291.93616,49.253979,1
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,2.816504904,0.105,2.50587,16800.0,12.21,0.0383,89.37,1219.0,104.64681,1328.3038,1406.8,474.0,0.7998,5532.0,4.452,0.14,0.955,0.941,297.01547,49.225288,1
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,33.93373447,0.812,14.561,8500.0,7.34,0.1881,86.45,430.0,52.86124,193.4089,236.1,31.0,0.0299,5040.0,4.628,-0.24,0.705,0.782,284.17233,49.360722,0
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,3.689920099,0.151,2.6557,427.0,1.89,0.0469,89.19,1147.0,4.8750124,31.786789,35.6,360.0,0.4053,5880.0,4.518,-0.06,0.917,1.01,291.62241,50.61824,1
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431238488,0.405,3.15,1010.0,3.25,0.0529,87.72,1104.0,6.815371,58.259056,71.1,302.0,0.52,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,1
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.37936986,0.911,2.6255,1020.0,3.95,0.0993,86.8,806.0,5.2506146,29.930164,37.9,109.0,0.2364,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,1
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,26.39432897,0.602,3.573,1510.0,3.07,0.1635,89.28,489.0,8.917681,41.269753,48.2,51.0,0.2735,5129.0,4.595,0.02,0.763,0.846,289.39972,51.25032,1
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57078281,0.866,3.3539,512.0,2.64,0.1096,87.07,785.0,18.771214,76.76887,88.4,101.0,0.6645,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,1
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594387,0.898,3.0014,192.0,1.79,0.0711,84.02,997.0,6.1814723,39.793564,47.1,181.0,0.7788,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,1
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,7.442652004,0.137,2.3078,24400.0,15.03,0.0742,89.72,967.0,115.64278,1044.7283,835.6,180.0,0.0786,6108.0,4.469,-0.3,0.956,0.981,288.98682,49.733742,0
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.38489988,0.001,3.0249,1130.0,2.0,0.1084,90.0,433.0,6.419572,28.122635,28.9,65.0,0.7202,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,1
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.8774163,0.041,2.0805,1310.0,2.16,0.0665,89.92,553.0,10.036489,41.450657,38.7,135.0,0.5008,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,1
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.4454001,0.028,4.007,1120.0,1.99,0.1847,89.98,332.0,5.9903665,19.803268,21.7,27.0,0.6219,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,1
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,3.728732147,0.558,2.683,5230.0,6.02,0.0455,86.7,1023.0,28.264866,360.1958,345.2,357.0,0.6769,5497.0,4.577,-0.1,0.809,0.907,290.78574,50.054119,1
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,40.4195037,0.911,3.362,6260.0,7.51,0.2062,89.05,467.0,22.598503,94.071846,36.9,36.0,0.8482,5446.0,4.507,-0.54,0.781,0.714,294.31686,50.080231,1
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,2.243380573,0.915,1.1196,822.0,1.99,0.028,82.88,822.0,4.251499,30.578562,38.9,472.0,0.5576,4149.0,4.698,-0.32,0.564,0.578,285.17621,50.149818,1
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,10.40599802,0.324,6.5036,14500.0,11.23,0.0855,88.57,833.0,97.352005,691.1691,745.2,117.0,0.8796,5746.0,4.393,-0.54,0.924,0.77,289.23553,50.241001,0
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,2.337437946,0.28,1.9982,971.0,2.34,0.0325,88.19,1070.0,6.0310416,63.58795,82.4,578.0,0.6818,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,1
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,7.2406612,1.198,0.558,556.0,19.45,0.0692,87.62,734.0,3.2751372,9.1666,13.7,168.0,0.4049,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,1
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,3.43591631,0.624,3.133,23.2,0.55,0.0437,84.62,1272.0,3.8943021,7.4337807,8.7,357.0,0.0228,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,1
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,11.59822233,0.679,2.5237,2800.0,2.65,0.0798,88.62,396.0,11.461336,62.376225,71.0,115.0,0.6552,3688.0,4.79,0.0,0.473,0.503,296.22195,50.28722,1
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,6.575315881,0.39,4.3084,2790.0,5.31,0.067,88.03,1015.0,20.537346,210.22159,221.1,205.0,0.5611,5992.0,4.415,-0.32,0.989,0.927,290.09805,50.321609,1
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,7.275040844,0.547,7.5377,3000.0,4.86,0.0732,85.29,833.0,24.639503,234.95987,312.1,188.0,0.1322,5485.0,4.556,0.21,0.867,0.986,295.45529,50.49456,1
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,19.27153892,0.031,2.7594,1220.0,1.93,0.1171,89.97,393.0,6.437265,28.490973,37.1,67.0,0.8388,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,1
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,10.06524317,0.628,1.369,1050.0,1.91,0.076,89.22,488.0,5.446764,21.658537,30.3,126.0,0.0088,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,1
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,12.3935651,0.883,3.8896,917.0,2.66,0.0983,86.13,677.0,5.6057496,31.608551,35.8,107.0,0.8571,5557.0,4.603,-0.4,0.75,0.832,296.02133,50.56778,1
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.84439721,0.852,6.802,615.0,2.87,0.2395,88.27,531.0,16.554466,65.59482,83.7,29.0,0.9647,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,1
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,3.341913228,1.213,3.813,725.0,21.55,0.0415,56.44,1032.0,5.0937037,32.72262,39.0,780.0,0.0,5295.0,4.551,-0.02,0.811,0.853,292.31595,38.27029,0
73,3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,1.626630225,1.26,2.1145,1620.0,32.43,0.026,58.03,1547.0,5.3061833,45.885685,103.6,664.0,0.8796,5735.0,4.41,-0.18,0.973,0.889,294.36819,38.31028,0
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,2.711504086,0.023,3.0099,838.0,3.12,0.0401,89.81,1420.0,6.3430967,48.726124,64.5,494.0,0.228,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,1
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,7.21203748,0.012,4.0491,950.0,3.32,0.077,89.95,1025.0,6.1683164,40.04205,51.5,165.0,0.3431,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,1
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,8.47237911,0.022,2.7245,1120.0,2.59,0.0778,89.95,751.0,5.7419868,39.867977,47.6,159.0,0.9241,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,1
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,60.4189369,0.094,5.039,931.0,2.36,0.2884,89.94,390.0,6.335456,15.139797,20.1,22.0,0.6244,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,1
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,12.61190435,0.55,5.1497,6110.0,7.4,0.1058,88.17,753.0,31.536423,207.6196,277.2,104.0,0.0586,5795.0,4.508,-0.02,0.919,0.992,289.11221,51.737381,1
