rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,period_err1,period_err2,impact_parameter,impact_parameter_err1,impact_parameter_err2,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,radius,radius_prad_err1,radiusprad_err2,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_eff_temp_err1,stellar_eff_temp_err2,stellar_surf_grav,stellar_surf_grav_err1,stellar_surf_grav_err2,stellar_metal,stellar_metal_err1,stellar_metal_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,stellar_mass,stellar_mass_err1,stellar_mass_err2,ra,dec,disposition_num
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803557,2.78e-05,-2.78e-05,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,616.0,19.5,-19.5,2.26,0.26,-0.15,0.0853,89.66,793.0,5.135849,28.47082,35.8,142.0,0.6864,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,1
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.4183827,0.000248,-0.000248,0.586,0.059,-0.443,4.507,0.116,-0.116,875.0,35.5,-35.5,2.83,0.32,-0.19,0.2734,89.57,443.0,7.027669,20.109507,25.8,25.0,0.0023,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,1
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,19.89913995,1.49e-05,-1.49e-05,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10800.0,171.0,-171.0,14.6,3.92,-1.31,0.1419,88.96,638.0,37.159767,187.4491,76.3,56.0,0.6624,5853.0,158.0,-176.0,4.544,0.044,-0.176,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,297.00482,48.134129,1
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,1.736952453,2.63e-07,-2.63e-07,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8080.0,12.8,-12.8,33.46,8.5,-2.83,0.0267,67.09,1395.0,39.06655,541.8951,505.6,621.0,0.0,5805.0,157.0,-174.0,4.564,0.053,-0.168,-0.52,0.3,-0.3,0.791,0.201,-0.067,0.836,0.093,-0.077,285.53461,48.28521,0
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525591777,3.76e-06,-3.76e-06,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.0,16.9,-16.9,2.75,0.88,-0.35,0.0374,85.41,1406.0,4.749945,33.1919,40.9,515.0,0.309,6031.0,169.0,-211.0,4.438,0.07,-0.21,0.07,0.25,-0.3,1.046,0.334,-0.133,1.095,0.151,-0.136,288.75488,48.2262,1
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09432054,2.04e-05,-2.04e-05,0.538,0.03,-0.428,4.5945,0.061,-0.061,1520.0,24.2,-24.2,3.9,1.27,-0.42,0.0992,88.11,835.0,9.046456,55.204865,66.5,95.0,0.0975,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,1
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443512,1.05e-05,-1.05e-05,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,0.0514,83.72,1160.0,5.500643,33.546658,40.2,240.0,0.546,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,1
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56658897,1.78e-05,-1.78e-05,0.755,0.212,-0.523,2.429,0.165,-0.165,227.0,16.8,-16.8,1.59,0.52,-0.17,0.0374,82.17,1360.0,4.3886313,12.325094,15.0,355.0,0.4352,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,1
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,7.36178958,2.13e-05,-2.13e-05,1.169,7.133,-0.044,5.022,0.136,-0.136,234.0,5.8,-5.8,39.21,6.45,-9.67,0.082,60.92,1342.0,10.964684,46.15308,47.7,185.0,0.7213,6227.0,111.0,-124.0,3.986,0.182,-0.098,0.0,0.15,-0.15,1.958,0.322,-0.483,1.358,0.121,-0.207,298.86435,42.151569,0
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06864674,1.09e-05,-1.09e-05,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4910.0,33.3,-33.3,5.76,0.22,-0.49,0.1158,89.92,600.0,20.457163,137.44981,161.9,69.0,0.1819,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,1
