rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,impact_parameter,transit_duration,transit_depth,radius,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_surf_grav,stellar_metal,stellar_radius,stellar_mass,ra,dec
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803557,0.146,2.9575,6.16E+02,2.26,0.0853,89.66,793,5.135849,28.47082,35.8,142,0.6864,5455,4.467,0.14,0.927,0.919,291.93423,48.141651
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.4183827,0.586,4.507,8.75E+02,2.83,0.2734,89.57,443,7.027669,20.109507,25.8,25,0.0023,5455,4.467,0.14,0.927,0.919,291.93423,48.141651
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,19.89913995,0.969,1.7822,1.08E+04,14.6,0.1419,88.96,638,37.159767,187.4491,76.3,56,0.6624,5853,4.544,-0.18,0.868,0.961,297.00482,48.134129
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,1.736952453,1.276,2.40641,8.08E+03,33.46,0.0267,67.09,1395,39.06655,541.8951,505.6,621,0,5805,4.564,-0.52,0.791,0.836,285.53461,48.28521
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525591777,0.701,1.6545,6.03E+02,2.75,0.0374,85.41,1406,4.749945,33.1919,40.9,515,0.309,6031,4.438,0.07,1.046,1.095,288.75488,48.2262
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09432054,0.538,4.5945,1.52E+03,3.9,0.0992,88.11,835,9.046456,55.204865,66.5,95,0.0975,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443512,0.762,3.1402,6.86E+02,2.77,0.0514,83.72,1160,5.500643,33.546658,40.2,240,0.546,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56658897,0.755,2.429,2.27E+02,1.59,0.0374,82.17,1360,4.3886313,12.325094,15,355,0.4352,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,7.36178958,1.169,5.022,2.34E+02,39.21,0.082,60.92,1342,10.964684,46.15308,47.7,185,0.7213,6227,3.986,0,1.958,1.358,298.86435,42.151569
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06864674,0.052,3.5347,4.91E+03,5.76,0.1158,89.92,600,20.457163,137.44981,161.9,69,0.1819,5031,4.485,0.16,0.848,0.801,286.99948,48.37579
